FROZEN_BOX_CODE;FROZEN_BOX_TYPE_CODE;FROZEN_BOX_ROWS;FROZEN_BOX_COLUMNS;PROJECT_CODE;PROJECT_NAME;PROJECT_SITE_CODE;PROJECT_SITE_NAME;EQUIPMENT_CODE;AREA_CODE;SUPPORT_RACK_CODE;SAMPLE_TYPE_CODE;SAMPLE_TYPE_NAME;SAMPLE_NUMBER;IS_SPLIT;MEMO;STATUS;EMPTY_TUBE_NUMBER;EMPTY_HOLE_NUMBER;DISLOCATION_NUMBER;ROWS_IN_SHELF;COLUMNS_IN_SHELF;IS_REAL_DATA;FROZEN_BOX_TYPE_ID;SAMPLE_TYPE_ID;SAMPLE_CLASSIFICATION_ID;PROJECT_ID;PROJECT_SITE_ID;EQUIPMENT_ID;AREA_ID;SUPPORT_RACK_ID;CREATED_BY;CREATED_DATE;LAST_MODIFIED_BY;LAST_MODIFIED_DATE
1494946117831;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;2;B;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.54.014000000 下午;admin;16-5月 -17 10.52.21.222000000 下午
1494946109085;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;3;B;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.55.038000000 下午;admin;16-5月 -17 10.52.21.188000000 下午
1494946103498;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;4;B;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.55.597000000 下午;admin;16-5月 -17 10.52.21.158000000 下午
1494946087410;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;5;B;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.56.035000000 下午;admin;16-5月 -17 10.52.21.242000000 下午
1494946080752;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;1;A;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.56.447000000 下午;admin;16-5月 -17 10.51.53.129000000 下午
1494946070517;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;2;A;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.49.17.187000000 下午;admin;16-5月 -17 10.51.53.163000000 下午
1494946056637;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;3;A;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.57.136000000 下午;admin;16-5月 -17 10.51.53.120000000 下午
1494946046233;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;4;A;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.57.471000000 下午;admin;16-5月 -17 10.51.53.119000000 下午
1494946035203;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;5;A;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.57.796000000 下午;admin;16-5月 -17 10.51.53.185000000 下午
1494946018973;BOX_TYPE_00002;10;10;0029;高危II期样本管理;2106;辽宁省北镇市人民医院;F1-09;S01;R14;S_TYPE_00001;血浆;100;0; ;2004;0;0;0;1;B;0;1;1;1;8;2;1;2;3;admin;16-5月 -17 10.48.58.088000000 下午;admin;16-5月 -17 10.51.53.126000000 下午
